region,n_pix,F090W,F115W,F150W,F182M,F200W,F210M,F277W,F335M,F356W,F410M,F444W,F090W_err,F115W_err,F150W_err,F182M_err,F200W_err,F210M_err,F277W_err,F335M_err,F356W_err,F410M_err,F444W_err,F090W_n_eff,F115W_n_eff,F150W_n_eff,F182M_n_eff,F200W_n_eff,F210M_n_eff,F277W_n_eff,F335M_n_eff,F356W_n_eff,F410M_n_eff,F444W_n_eff
1,111,1.8273381703792506e-8,2.3306553971326964e-8,3.451589963904324e-8,3.635730692933754e-8,2.9745472600220997e-8,2.6757135183427e-8,1.0724708911040346e-7,9.998927611889629e-8,1.0319898638857714e-7,9.255692951470525e-8,8.998210620157733e-8,1.734432635359208e-9,2.2121602055322145e-9,3.2761042122988683e-9,3.4508828576008465e-9,2.8233153155936634e-9,2.5396748802780245e-9,1.0179443215032023e-8,9.490562091775482e-9,9.79521430842713e-9,8.785114971118297e-9,8.540723557587766e-9,111,111,111,111,111,111,111,111,111,111,111
2,315,5.708941205122215e-8,7.379109516948803e-8,1.1746272003673705e-7,1.6756750105164262e-7,1.501155226278078e-7,1.2882352836586683e-7,5.656783758059395e-7,6.324068733647883e-7,6.368887196116651e-7,6.244405262870755e-7,6.103006711201673e-7,3.21662396633599e-9,4.157657202904646e-9,6.618274507402192e-9,9.441359097868061e-9,8.45805150997911e-9,7.258383540503471e-9,3.1872365741353765e-8,3.5632090649587264e-8,3.5884614077893067e-8,3.518323784109573e-8,3.438654725739189e-8,315,315,315,315,315,315,315,315,315,315,315
3,300,5.0885635097814514e-8,6.176478602358368e-8,6.788518060188109e-8,6.996225908543218e-8,7.278194855219452e-8,7.003380306435417e-8,2.9297549682819566e-7,2.5640336222407427e-7,2.3631857160157044e-7,1.893553331647476e-7,1.7271351689151402e-7,2.9378835121608277e-9,3.5659915837155667e-9,3.9193527294482404e-9,4.03927291160886e-9,4.202067758875499e-9,4.043403505157811e-9,1.6914948195972308e-8,1.4803455020119438e-8,1.3643859092867453e-8,1.093243525751583e-8,9.97161954700026e-9,300,300,300,300,300,300,300,300,300,300,300
4,541,3.5001836361488054e-7,7.26389599008622e-7,1.1280871164797505e-6,1.4997510898450718e-6,1.674783468298579e-6,1.8071298626932219e-6,8.389595039226658e-6,1.0285586873877114e-5,9.509624053717385e-6,8.767470363222187e-6,7.937678563610287e-6,1.5048464827201625e-8,3.122992810615386e-8,4.8500253298261856e-8,6.447933557544173e-8,7.20045652907522e-8,7.769458121016286e-8,3.606968633256596e-7,4.4221191911225226e-7,4.088506717599907e-7,3.7694299242439123e-7,3.4126745648565584e-7,541,541,541,541,541,541,541,541,541,541,541
5,1820,5.04061418216885e-7,9.708335796527137e-7,1.4473085263176546e-6,1.8317321963424483e-6,2.0560313932310208e-6,2.170861439236273e-6,1.1478436995296624e-5,1.3146444430694518e-5,1.3221771114351088e-5,1.2158285366772197e-5,1.1398500787466532e-5,1.1815381884859438e-8,2.2756690108954798e-8,3.3925435126832706e-8,4.293646493940958e-8,4.819411920916258e-8,5.08857770039757e-8,2.690587131633497e-7,3.0815741051203507e-7,3.099230952110759e-7,2.849946047878251e-7,2.6718497955112225e-7,1820,1820,1820,1820,1820,1820,1820,1820,1820,1820,1820
6,3069,8.50649210976244e-7,1.814444206111073e-6,2.835420053078096e-6,3.680827720825198e-6,4.139779069482829e-6,4.38540382299818e-6,2.2402387598290527e-05,2.7309684605934035e-5,2.633869945935607e-5,2.4462381350193e-5,2.2720202668798454e-5,1.5355079145572617e-8,3.275255420279144e-8,5.118220150465026e-8,6.64426654903075e-8,7.472720180877124e-8,7.916097719076628e-8,4.0438576816731107e-7,4.929674455155101e-7,4.754401809480521e-7,4.415707401765674e-7,4.10122651830207e-7,3069,3069,3069,3069,3069,3069,3069,3069,3069,3069,3069
7,1832,8.635682885165601e-7,1.8419764661480079e-6,2.9625728079834107e-6,3.938974861995186e-6,4.465089856706299e-6,4.814865925122663e-6,2.5077695182724484e-5,3.0455607945997173e-5,3.0085312015979135e-5,2.842079861505239e-5,2.6527983605528768e-5,2.0175948067465908e-8,4.3034953942480156e-8,6.921596811137851e-8,9.202810398606312e-8,1.0431997360651985e-7,1.1249195477518182e-7,5.859018706297556e-7,7.115485508819232e-7,7.028971546310585e-7,6.640083529215976e-7,6.197856344159535e-7,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832
8,70,5.008771927962578e-8,1.2401956690311728e-7,2.385655525178075e-7,3.6561673298724926e-7,4.191445579289161e-7,4.826655144057014e-7,2.630105457996268e-6,3.196618600920046e-6,3.1510668965336714e-6,3.035230847478387e-6,2.7690761420798e-6,5.986627505931861e-9,1.4823173447986667e-8,2.8514037357095027e-8,4.369955793177343e-8,5.009735670834576e-8,5.7689563155679625e-8,3.1435772889636783e-7,3.8206900049501215e-7,3.766245304663584e-7,3.6277947448404446e-7,3.3096790264390875e-7,70,70,70,70,70,70,70,70,70,70,70
9,115,1.2301847336973108e-9,3.0180120543959077e-9,6.230951761847352e-9,1.432859368783478e-8,1.7750005789478463e-8,2.009068417065993e-8,1.5024499271000962e-7,1.9287399306594992e-7,1.6454974628678813e-7,1.5899329930479162e-7,1.7011945135770094e-7,1.1471531791965723e-10,2.8143107520514116e-10,5.810392477836111e-10,1.3361482509227744e-9,1.6551965744982072e-9,1.8734659589977945e-9,1.4010417811611487e-8,1.7985592591850725e-8,1.5344342960715365e-8,1.4826201607970954e-8,1.586372063662603e-8,115,115,115,115,115,115,115,115,115,115,115
10,35,8.45981457034887e-10,1.0473034867757438e-9,1.715203837278964e-9,4.354084410170979e-9,4.7738839745575255e-9,4.776383309070214e-9,2.525407414872707e-8,2.5072124227793534e-8,2.5818366259223913e-8,2.8453010134295826e-8,2.8793908283036883e-8,1.429969655668929e-10,1.7702659956810608e-10,2.899223641605989e-10,7.359745929406213e-10,8.069336705355149e-10,8.073561351749925e-10,4.268717643205224e-9,4.237962493240326e-9,4.364100418824453e-9,4.809436514966743e-9,4.867058819134259e-9,35,35,35,35,35,35,35,35,35,35,35
11,38,8.830778550144348e-11,7.51407429247416e-10,1.7050333530961088e-9,6.260261979203786e-9,8.425012945827024e-9,9.387804563416492e-9,7.868572391582766e-8,1.0090178713228441e-7,1.0686401009645689e-7,1.3571644991765017e-7,1.5062702685704718e-7,1.432541446095471e-11,1.2189438102072873e-10,2.7659293361460003e-10,1.0155485949173185e-9,1.3667175731171323e-9,1.5229029975752812e-9,1.2764509956328394e-8,1.6368431303232868e-8,1.7335631585579395e-8,2.2016115376463175e-8,2.4434930357451733e-8,38,38,38,38,38,38,38,38,38,38,38
12,56,4.797109226635621e-10,1.4279442295944532e-9,2.810073437054682e-9,7.695005170586695e-9,1.0070443468577195e-8,1.0681696392321092e-8,9.4330044982758e-8,1.2493520617362638e-7,1.4119297504198142e-7,2.010030114650869e-7,2.4254442036221436e-7,6.410406847500928e-11,1.908170740915468e-10,3.7551185832617464e-10,1.0282883192067637e-9,1.3457196140104019e-9,1.427401721771599e-9,1.260538248587338e-8,1.6695169180274088e-8,1.886770492951495e-8,2.68601572361482e-8,3.241136150246726e-8,56,56,56,56,56,56,56,56,56,56,56
13,97,1.8480932898030063e-9,4.520540967103071e-9,6.6756546891588895e-9,1.3050667154653233e-8,1.6558974559502724e-8,1.7622366037533242e-8,1.59018163827308e-7,2.2026620566580307e-7,2.5390267282433773e-7,4.0676787077811336e-7,5.221706545297534e-7,1.8764544346106565e-10,4.589913935277525e-10,6.778100388393741e-10,1.325094484791244e-9,1.681309131753625e-9,1.7892801776790307e-9,1.6145848282864676e-8,2.236464472313062e-8,2.5779910516936728e-8,4.13010197694125e-8,5.301839716220969e-8,97,97,97,97,97,97,97,97,97,97,97
14,52,1.3528665587102958e-10,1.9938401611659753e-9,3.320962386925959e-9,7.512703987965244e-9,9.123742917710837e-9,9.515697455013286e-9,6.787185132343469e-8,8.349136121398154e-8,9.057808145698969e-8,1.2402960553509975e-7,1.451652409111398e-7,1.8760883639578787e-11,2.7649588216012724e-10,4.605346219211087e-10,1.0418245940765957e-9,1.2652354966906864e-9,1.3195898113789458e-9,9.4121323118197e-9,1.1578168612126761e-8,1.2560919889474243e-8,1.7199811632014402e-8,2.0130796904622973e-8,52,52,52,52,52,52,52,52,52,52,52
15,39,1.3189512625190048e-9,2.2490787677435435e-9,4.6057453054186764e-9,8.916905213776454e-9,1.1068924122591559e-8,1.1779010472644746e-8,9.086219660838511e-8,1.0710725411719654e-7,1.183174805342993e-7,1.6019056379794523e-7,1.859581652287756e-7,2.1120123062605703e-10,3.60140830840994e-10,7.375094926531399e-10,1.4278475695369794e-9,1.7724463843591804e-9,1.8861512006353902e-9,1.4549595793575556e-8,1.7150886860919e-8,1.8945959720826682e-8,2.5651019237961e-8,2.9777137683065186e-8,39,39,39,39,39,39,39,39,39,39,39
