"region","n_pix","F090W","F115W","F150W","F182M","F200W","F210M","F277W","F335M","F356W","F410M","F430M","F444W","F460M","F480M","F090W_err","F115W_err","F150W_err","F182M_err","F200W_err","F210M_err","F277W_err","F335M_err","F356W_err","F410M_err","F430M_err","F444W_err","F460M_err","F480M_err","F090W_n_eff","F115W_n_eff","F150W_n_eff","F182M_n_eff","F200W_n_eff","F210M_n_eff","F277W_n_eff","F335M_n_eff","F356W_n_eff","F410M_n_eff","F430M_n_eff","F444W_n_eff","F460M_n_eff","F480M_n_eff"
1,824,1.90094459818252e-07,2.44307923258009e-07,2.75456524268313e-07,2.74338184634919e-07,2.86008189563076e-07,1.18581776421493e-06,1.20046538930347e-06,1.22096371016956e-06,1.23687808193011e-06,1.16110371224822e-06,1.15999027028459e-06,1.11740299240329e-06,1.0015761573569e-06,1.51939784397236e-07,6.62225429946539e-09,8.5108697893439e-09,9.59598272298771e-09,9.55702351579887e-09,9.96356740131851e-09,4.13099192631009e-08,4.18201934621085e-08,4.25342863063558e-08,4.30886897167201e-08,4.04489644669944e-08,4.04101758782164e-08,3.89265777537809e-08,3.48915587578945e-08,5.29307319869524e-09,824,824,824,824,824,824,824,824,824,824,824,824,824,824
2,353,2.37552281469427e-07,3.03062839790555e-07,3.25711849219906e-07,3.40723036678288e-07,3.53363104474028e-07,1.53996439487479e-06,1.68574419797114e-06,1.68581277221893e-06,1.69535501391224e-06,1.53868412584667e-06,1.55933124929917e-06,1.48434778973137e-06,1.33002713709886e-06,1.86714214508123e-07,1.26436321778854e-08,1.61304073755669e-08,1.73358925119201e-08,1.81348574033665e-08,1.88076203291708e-08,8.19640344239026e-08,8.97231104383002e-08,8.9726760277235e-08,9.0234642556354e-08,8.1895892579168e-08,8.29948280760197e-08,7.90038612188028e-08,7.07902016518763e-08,9.93779489727755e-09,353,353,353,353,353,353,353,353,353,353,353,353,353,353
3,405,4.22148406984863e-07,5.43982945709684e-07,5.87077212432596e-07,6.25061003064649e-07,6.63974334081245e-07,2.92680309298294e-06,3.3284213102121e-06,3.31226215782545e-06,3.27915300490876e-06,2.92693061414369e-06,2.96631376030588e-06,2.87000396522465e-06,2.51270106258441e-06,3.36916801837337e-07,2.09767229913644e-08,2.70307298934984e-08,2.91721012231193e-08,3.10595309541502e-08,3.29931499182404e-08,1.45434014948144e-07,1.65390584608737e-07,1.64587629871063e-07,1.62942422835526e-07,1.45440351525567e-07,1.47397315791932e-07,1.42611643598583e-07,1.24857119623882e-07,1.67415304815581e-08,405,405,405,405,405,405,405,405,405,405,405,405,405,405
4,412,4.82782420667472e-07,6.5234447833204e-07,7.38348165343451e-07,7.99805318232627e-07,8.49843843951633e-07,3.90590187549376e-06,4.46677788555191e-06,4.47494293033389e-06,4.46919882714467e-06,4.06749324322974e-06,4.09654316425454e-06,3.94322704912313e-06,3.5115641039674e-06,3.56670288878842e-07,2.37849827033345e-08,3.21387056974686e-08,3.63758032395896e-08,3.94035798443058e-08,4.18688010656615e-08,1.92429973778041e-07,2.20062351484555e-07,2.20464614368615e-07,2.20181622716158e-07,2.00391009064485e-07,2.0182219595019e-07,1.9426885309752e-07,1.73002346189492e-07,1.7571883914182e-08,412,412,412,412,412,412,412,412,412,412,412,412,412,412
5,262,3.44944969968942e-07,4.76174529718308e-07,5.46150656624745e-07,5.90972754179666e-07,6.31031367559948e-07,2.96405947924323e-06,3.39537854790844e-06,3.41214082599011e-06,3.46621922016294e-06,3.16352937042157e-06,3.18585300922157e-06,3.05226154803061e-06,2.76048263012474e-06,2.51417979987067e-07,2.13107714142523e-08,2.94181606910506e-08,3.37413002489112e-08,3.65104186836176e-08,3.89852480832055e-08,1.83120206176908e-07,2.09767187229452e-07,2.10802764227756e-07,2.1414373857729e-07,1.95443497208837e-07,1.96822656219749e-07,1.88569348184578e-07,1.70543186436083e-07,1.55326546765412e-08,262,262,262,262,262,262,262,262,262,262,262,262,262,262
6,139,2.17488646230895e-07,2.9661268515549e-07,3.40652647656259e-07,3.69998196290675e-07,3.94676227047347e-07,1.84747244774661e-06,2.12334075808259e-06,2.122915173767e-06,2.15362077236054e-06,1.96646266341034e-06,1.9754121077031e-06,1.90354004621014e-06,1.7135914957499e-06,1.62819695565795e-07,1.84471462064129e-08,2.51583595951537e-08,2.88937804608211e-08,3.13828374095307e-08,3.34760006589419e-08,1.56700567806743e-07,1.80099412494393e-07,1.8006331490388e-07,1.82667729784504e-07,1.66793186173364e-07,1.67552268130955e-07,1.61456159439794e-07,1.4534493366888e-07,1.3810186331277e-08,139,139,139,139,139,139,139,139,139,139,139,139,139,139
7,140,1.92323836696464e-07,2.84536566915155e-07,3.47612455704749e-07,3.83708824844084e-07,4.12961667470767e-07,2.03962707279181e-06,2.38412230012691e-06,2.3959955274843e-06,2.47230549095006e-06,2.28326297758102e-06,2.30459818838506e-06,2.22052361962334e-06,2.02887195823339e-06,1.24000742997824e-07,1.62543308869729e-08,2.40477290154189e-08,2.93786145935496e-08,3.24293145893857e-08,3.49016310302702e-08,1.72379949862947e-07,2.0149511057454e-07,2.02498581436385e-07,2.08947950466512e-07,1.9297094201667e-07,1.94774096435327e-07,1.87668498484983e-07,1.71470976780032e-07,1.04799755534109e-08,140,140,140,140,140,140,140,140,140,140,140,140,140,140
8,91,1.45316148683095e-07,2.17436123683406e-07,2.72859442166698e-07,3.02848215704345e-07,3.24122493571421e-07,1.61542983893541e-06,1.91566661243063e-06,1.92381004098574e-06,1.96292252662887e-06,1.83126381756992e-06,1.81527506354014e-06,1.75660278918166e-06,1.57791993023874e-06,8.95218063727394e-08,1.52332715195317e-08,2.27934991412907e-08,2.86034415779751e-08,3.17471192351153e-08,3.39772695251418e-08,1.69343060494412e-07,2.00816426202547e-07,2.01670089469873e-07,2.05770192032492e-07,1.91968609199604e-07,1.90292532358854e-07,1.84142006804256e-07,1.65410953643058e-07,9.38443521764983e-09,91,91,91,91,91,91,91,91,91,91,91,91,91,91
9,85,1.31851367002371e-07,2.09262817094279e-07,2.72719019393697e-07,3.01609059799078e-07,3.25097542406085e-07,1.7229730296391e-06,2.04638608338837e-06,2.08480713132018e-06,2.20403781178848e-06,2.01103374129991e-06,2.01558631662343e-06,1.91100588328264e-06,1.75183265572647e-06,7.35568293561235e-08,1.430128870392e-08,2.26977393583418e-08,2.95805308664648e-08,3.27140957122342e-08,3.52617793549361e-08,1.86882664064404e-07,2.21961734971583e-07,2.26129082730443e-07,2.39061465780452e-07,2.18127235094477e-07,2.1862103121907e-07,2.07277690577324e-07,1.90012930014208e-07,7.97835833395633e-09,85,85,85,85,85,85,85,85,85,85,85,85,85,85
10,50,1.00622624321086e-07,1.60220415957723e-07,2.07835644848079e-07,2.3340708954997e-07,2.52889527517744e-07,1.31845470663372e-06,1.54683382030149e-06,1.55510890956629e-06,1.58294430491048e-06,1.45724267956459e-06,1.44732276198578e-06,1.4009612130781e-06,1.26206638094459e-06,5.44883109504601e-08,1.42301879996453e-08,2.2658588521647e-08,2.93923987688711e-08,3.30087471595598e-08,3.57639799597718e-08,1.86457652749605e-07,2.18755336740776e-07,2.19925611087588e-07,2.23862130448565e-07,2.06085236110916e-07,2.04682347913157e-07,1.98125834789372e-07,1.78483139254697e-07,7.70581083369431e-09,50,50,50,50,50,50,50,50,50,50,50,50,50,50
