"region","n_pix","F090W","F115W","F150W","F182M","F200W","F210M","F277W","F335M","F356W","F410M","F444W","F090W_err","F115W_err","F150W_err","F182M_err","F200W_err","F210M_err","F277W_err","F335M_err","F356W_err","F410M_err","F444W_err","F090W_n_eff","F115W_n_eff","F150W_n_eff","F182M_n_eff","F200W_n_eff","F210M_n_eff","F277W_n_eff","F335M_n_eff","F356W_n_eff","F410M_n_eff","F444W_n_eff"
1,677,5.62853994838573e-07,7.56397253172561e-07,9.22063557178843e-07,9.90656001564125e-07,1.04181522469183e-06,1.23386235952604e-06,1.41379927967503e-06,1.36785902578794e-06,1.24452207114413e-06,1.15371640594613e-06,3.48231353891907e-07,6.02096508853752e-09,6.844742081259e-09,1.74441398299361e-08,8.49139455484781e-09,2.11902909689845e-08,9.16676443633264e-09,1.19508667658725e-08,1.05733413805916e-08,1.0595057808807e-08,9.25766020123992e-09,5.43586235183973e-09,677,677,677,677,677,677,677,677,677,677,677
2,109,3.00451476802715e-07,4.68900293562818e-07,6.04997410617685e-07,6.7581341855375e-07,7.4609181441604e-07,9.2690551400319e-07,1.11668427049817e-06,1.08935220360964e-06,1.02309966623409e-06,9.46971650717015e-07,1.58419717663801e-07,2.41593376570807e-09,2.74647722890107e-09,6.99952346661296e-09,3.40720242043282e-09,8.50268000301318e-09,3.67819699971177e-09,4.79532801213483e-09,4.24259102687047e-09,4.25130482132448e-09,3.71466925031781e-09,2.18115920096471e-09,109,109,109,109,109,109,109,109,109,109,109
3,252,9.73272492021893e-07,1.57068376294174e-06,2.06588583637802e-06,2.33922115294854e-06,2.5669309641162e-06,3.29405689359973e-06,4.02000793339372e-06,3.92387919188385e-06,3.71554100991511e-06,3.47121099652095e-06,4.9082352590881e-07,3.67343233990993e-09,4.17602436651008e-09,1.06427900595522e-08,5.18065840110852e-09,1.29283427146521e-08,5.59270622526392e-09,7.29130626438729e-09,6.45086852310702e-09,6.46411786578564e-09,5.64816235853513e-09,3.31645712355345e-09,252,252,252,252,252,252,252,252,252,252,252
4,94,5.7775481290062e-07,9.19014808226988e-07,1.23018765642871e-06,1.3873206731556e-06,1.54295318691587e-06,1.93186683416097e-06,2.34686655521325e-06,2.29875112175788e-06,2.1817811465311e-06,2.02700625419729e-06,3.02924558069319e-07,2.24354973541809e-09,2.55050794342735e-09,6.50008673436032e-09,3.16408843544496e-09,7.89598859946972e-09,3.41574674879398e-09,4.45316715448731e-09,3.93986959035389e-09,3.94796162976295e-09,3.4496165962868e-09,2.0255270312822e-09,94,94,94,94,94,94,94,94,94,94,94
5,139,9.65541702811318e-07,1.60153395801711e-06,2.12207707570563e-06,2.44868944644292e-06,2.68248579086154e-06,3.54154235956856e-06,4.36047188042026e-06,4.24288081644732e-06,4.06787474867912e-06,3.7749307584662e-06,4.93261442379603e-07,2.72821865880945e-09,3.10148834717208e-09,7.90428562050883e-09,3.84761923100202e-09,9.60174097625056e-09,4.15364271480741e-09,5.41517468049606e-09,4.79099061633967e-09,4.80083076053398e-09,4.19482938806996e-09,2.46309700802653e-09,139,139,139,139,139,139,139,139,139,139,139
6,107,4.80351185839344e-07,8.23536435363961e-07,1.06112637743735e-06,1.25104780524833e-06,1.34314321740798e-06,1.85420300124512e-06,2.29621222494022e-06,2.21797381041298e-06,2.12624363778617e-06,1.98967983125152e-06,2.36148330807713e-07,2.39366661998336e-09,2.72116353464603e-09,6.93501035319615e-09,3.37579896315006e-09,8.42431261671928e-09,3.64429584324824e-09,4.75113049763354e-09,4.20348797115486e-09,4.21212145242576e-09,3.68043193690714e-09,2.16105592227965e-09,107,107,107,107,107,107,107,107,107,107,107
7,59,4.56114235143762e-07,7.82794940180204e-07,1.06871585130992e-06,1.2291697317555e-06,1.35957611502166e-06,1.82190021043327e-06,2.25883649595179e-06,2.21236816888756e-06,2.13204293973305e-06,1.99001239305439e-06,2.22029844852374e-07,1.77745158686315e-09,2.0206391326142e-09,5.14969171324559e-09,2.50674808843003e-09,6.25559453593545e-09,2.70612430966907e-09,3.5280203065502e-09,3.12136046946309e-09,3.12777138519254e-09,2.73295768591322e-09,1.60472316666332e-09,59,59,59,59,59,59,59,59,59,59,59
8,70,5.64343836228378e-07,1.00993499904987e-06,1.40693571001868e-06,1.65611490190712e-06,1.83896700561576e-06,2.53467049126959e-06,3.17603553539922e-06,3.12217344052168e-06,3.02962288385758e-06,2.81725372082632e-06,2.65223652643369e-07,1.93606883743954e-09,2.2009580937556e-09,5.60924287453069e-09,2.73044672113152e-09,6.81383489159084e-09,2.94761499267279e-09,3.84285581888628e-09,3.39990623655079e-09,3.4068892532782e-09,2.97684294123327e-09,1.74792637878656e-09,70,70,70,70,70,70,70,70,70,70,70
9,34,2.47403398617022e-07,4.79667331137329e-07,6.70434327420345e-07,8.240909299156e-07,8.97243760831276e-07,1.33961158033412e-06,1.69428788656139e-06,1.6647872781283e-06,1.64550147051075e-06,1.52023569102072e-06,1.14038974134315e-07,1.34930842853638e-09,1.53391824160929e-09,3.90926114916524e-09,1.90293583742853e-09,4.7487799359644e-09,2.05428736663802e-09,2.67820939307653e-09,2.36950363153327e-09,2.37437031971332e-09,2.0746572608168e-09,1.21818591867679e-09,34,34,34,34,34,34,34,34,34,34,34
10,205,3.55378889656019e-07,5.31730823079084e-07,6.53945510438927e-07,7.23359661597416e-07,7.93762100976879e-07,9.41201418940957e-07,1.09681155085963e-06,1.06720090926182e-06,9.90779568259875e-07,9.10957124834516e-07,2.00521566720885e-07,3.3132080297272e-09,3.766514851284e-09,9.59913623585999e-09,4.67263241174801e-09,1.16605629094834e-08,5.04427398107572e-09,6.57630581620038e-09,5.81828312373292e-09,5.83023320869147e-09,5.09429197216694e-09,2.99123853531292e-09,205,205,205,205,205,205,205,205,205,205,205
