region,n_pix,F090W,F115W,F150W,F182M,F200W,F210M,F277W,F335M,F356W,F410M,F430M,F090W_err,F115W_err,F150W_err,F182M_err,F200W_err,F210M_err,F277W_err,F335M_err,F356W_err,F410M_err,F430M_err,F090W_n_eff,F115W_n_eff,F150W_n_eff,F182M_n_eff,F200W_n_eff,F210M_n_eff,F277W_n_eff,F335M_n_eff,F356W_n_eff,F410M_n_eff,F430M_n_eff
1,307,9.850601983736219e-8,1.5829610347414372e-7,2.1069493295964546e-7,2.315904217938163e-7,2.4370911805293155e-7,2.0286670975131546e-7,2.2569375980893728e-7,2.207612563389682e-7,2.105616626675727e-7,2.0133475012062659e-7,2.0079061525427484e-7,3.138566867813432e-8,3.9786442851069726e-8,4.590151772650284e-8,4.812384251011304e-8,4.936690369599167e-8,4.504072709796273e-8,4.7507237323268684e-8,4.698523771770961e-8,4.588699844918741e-8,4.4870340997214026e-8,4.4809665838329443e-8,307,307,307,307,307,307,307,307,307,307,307
2,87,2.2840710945455792e-7,2.618117880828001e-7,2.981224949670753e-7,3.2185599074171955e-7,3.3543011650774117e-7,3.2054746091727595e-7,2.8409474760398384e-7,2.0619092941250113e-7,1.931403955826504e-7,1.6409568756761816e-7,1.7242092482818447e-7,4.779195637913957e-8,5.1167547144923813e-8,5.4600594773965175e-8,5.6732353268811224e-8,5.791632900208207e-8,5.661691098225653e-8,5.33005391721307e-8,4.540825138810139e-8,4.39477411914026e-8,4.0508725920179e-8,4.15235986913688e-8,87,87,87,87,87,87,87,87,87,87,87
3,127,5.843028467797601e-7,6.613485702789243e-7,7.461806970789209e-7,7.780663183320328e-7,8.238335329271186e-7,7.842643871995463e-7,6.916876131296628e-7,4.835172553367266e-7,4.6708169787903167e-7,4.057360377878749e-7,4.3752657666686093e-7,7.643970478617511e-8,8.132334045518078e-8,8.63817513760239e-8,8.820806756368903e-8,9.076527601054924e-8,8.855870297150622e-8,8.316775896521819e-8,6.953540503489763e-8,6.8343375529676e-8,6.369741264665896e-8,6.614579175328245e-8,127,127,127,127,127,127,127,127,127,127,127
4,176,9.733308547887484e-7,1.063806519228016e-6,1.23250578672588e-6,1.346137601742718e-6,1.3707264804868243e-6,1.369622395342199e-6,1.2456295105741792e-6,9.169891482492907e-7,8.602076803081372e-7,7.657110302073767e-7,8.775895902419967e-7,9.865753163285348e-8,1.0314099666127024e-7,1.1101827717659286e-7,1.1602317017487146e-7,1.1707802870252062e-7,1.1703086752400835e-7,1.116077735005129e-7,9.575955034612948e-8,9.274738165081196e-8,8.750491587375972e-8,9.367975182727572e-8,176,176,176,176,176,176,176,176,176,176,176
5,209,1.3073126465113503e-6,1.4848053807093748e-6,1.6958055651235797e-6,1.7730098485909786e-6,1.8628450918232548e-6,1.8217485058436016e-6,1.5538649326663016e-6,1.0964707800764076e-6,1.0556574741045251e-6,9.234586998848194e-7,9.950433290049354e-7,1.1433777357073867e-7,1.218525904816707e-7,1.3022309953013635e-7,1.3315441594596023e-7,1.3648608324013313e-7,1.349721640133106e-7,1.2465411877135474e-7,1.0471250069005169e-7,1.0274519327465032e-7,9.609675852414687e-8,9.975185857942375e-8,209,209,209,209,209,209,209,209,209,209,209
6,146,1.1166974502781545e-6,1.2362850135533263e-6,1.3669540458943754e-6,1.4072263026254976e-6,1.4847649759058832e-6,1.4567334067833577e-6,1.2436874753172874e-6,8.646112331758883e-7,8.308501535663768e-7,7.288947254399874e-7,7.912096321553006e-7,1.0567390644232636e-7,1.1118835431614798e-7,1.1691680999301919e-7,1.1862656964717042e-7,1.218509325325778e-7,1.2069521145361807e-7,1.1152073687513401e-7,9.298447360586005e-8,9.115098208831195e-8,8.537533165030677e-8,8.894996527010568e-8,146,146,146,146,146,146,146,146,146,146,146
7,108,1.0301169157179641e-6,1.1308354783177805e-6,1.2531400007113234e-6,1.3007902944172006e-6,1.3535602945165415e-6,1.3099735510453343e-6,1.1261276107977533e-6,7.904984629188978e-7,7.523857982458996e-7,6.625191561855513e-7,7.130035904011722e-7,1.0149467551147519e-7,1.0634074846068089e-7,1.1194373589939383e-7,1.1405219394721e-7,1.1634261018717697e-7,1.1445407598881458e-7,1.0611915994756806e-7,8.890998048132154e-8,8.674017513504914e-8,8.139527972711631e-8,8.44395399324968e-8,108,108,108,108,108,108,108,108,108,108,108
8,149,1.2513498121672698e-6,1.4768293345103574e-6,1.7008467185651935e-6,1.7531761604742304e-6,1.8756415265971842e-6,1.826059460057673e-6,1.5828906744998267e-6,1.1107488679936763e-6,1.0788702803875186e-6,9.477307272082594e-7,1.017825299518507e-6,1.1186374802264001e-7,1.21524867188175e-7,1.3041651423670215e-7,1.3240755871453223e-7,1.3695406261214686e-7,1.3513176754774108e-7,1.2581298321317348e-7,1.0539207123847963e-7,1.0386868057251516e-7,9.735146260885142e-8,1.0088732821908345e-7,149,149,149,149,149,149,149,149,149,149,149
9,25,2.3098536970101946e-7,2.4081843020146634e-7,2.824031603493472e-7,3.2728800595779625e-7,3.153168821485082e-7,3.2741151393125087e-7,2.9448748529641523e-7,2.113990938684177e-7,2.0222548008345442e-7,1.8334614694416204e-7,2.157908552903761e-7,4.806093732970878e-8,4.907325444694558e-8,5.3141618374805565e-8,5.720909070749126e-8,5.615308381099904e-8,5.7219884125297814e-8,5.426670114318865e-8,4.5978157191042104e-8,4.496948744242638e-8,4.2818938210114696e-8,4.645329431702084e-8,25,25,25,25,25,25,25,25,25,25,25
10,26,4.298922252362977e-7,4.1768428084945655e-7,4.566682684208972e-7,4.718431579901076e-7,4.842544793897647e-7,4.6814263938453183e-7,3.9515031813549973e-7,2.6613342880716814e-7,2.5740335225591475e-7,2.2845432400401226e-7,2.6307465791111887e-7,6.556616697934215e-8,6.4628498423641e-8,6.757723495533811e-8,6.869084058228635e-8,6.958839554047533e-8,6.842094996304361e-8,6.28609829811386e-8,5.158812157921319e-8,5.0734933946533794e-8,4.77968957155182e-8,5.129080404040463e-8,26,26,26,26,26,26,26,26,26,26,26
