tag,region,n_pix,photometry_mode,z_used,Z_mode,Z_fixed,Z_fit,logzsol,systematic_frac,convergence,objective,rms_sigma,logMformed,age_mw_gyr,sfr_recent,mSFR,mpeak,mperiod,tau_screen,Av
sagui4,1,204,raw,0.3664,free,NA,0.0020000000000000005,-0.9999999999999999,0.1,0,22.495837403419358,1.6823661325066026,7.784952019076106,0.4637365297132371,0.04759604822522085,0.0979569779425986,0.6427016524984044,0.2,1.2603246233025185,1.3687125409065353
sagui4,2,180,raw,0.3664,free,NA,0.0020000000000000005,-0.9999999999999999,0.1,0,20.54364246928177,1.6315335567972113,8.119300028133784,0.25064233093654537,0.23514995461421281,0.3095342355639978,0.3,0.2,0.6340830858797556,0.6886142312654147
sagui4,3,154,raw,0.3664,free,NA,0.0020000000000000005,-0.9999999999999999,0.1,0,20.980929117882084,1.7562885961260541,8.169321328254362,0.2506423309365455,0.2638555291722481,0.34732015855864223,0.3,0.2,0.5407887673919359,0.5872966013876425
sagui4,4,256,raw,0.3664,free,NA,0.0020000000000000005,-0.9999999999999999,0.1,0,21.146657999068246,1.76737343045713,8.520195320864838,0.25064233093654537,0.5918888952200025,0.7791193369410463,0.3,0.2,0.5904301907777835,0.6412071871846728
sagui4,5,301,raw,0.3664,free,NA,0.0020000000000000005,-0.9999999999999999,0.1,0,21.268887702589915,1.8383673818035438,8.639859535479616,0.2506423309365454,0.7796584795063903,1.0262855115193499,0.3,0.2,0.48875904118659586,0.5307923187286432
sagui4,6,87,raw,0.3664,free,NA,0.0020000000000000005,-0.9999999999999999,0.1,0,20.71619628940622,1.7040847060465316,8.239459017121638,0.2506423309365454,0.3101015151862542,0.40819499883761845,0.3,0.2,0.7612643955505498,0.8267331335678971
sagui4,7,157,raw,0.3664,free,NA,0.0020000000000000005,-0.9999999999999999,0.1,0,21.533611999928294,1.853109588288775,8.53329961489412,0.2506423309365453,0.6100205788166188,0.8029865617116169,0.3,0.2,0.5661401354610407,0.6148281871106902
sagui4,8,77,raw,0.3664,free,NA,0.0020000000000000005,-0.9999999999999999,0.1,0,21.764788881478246,1.9537711322993518,8.171684756841112,0.25064233093654537,0.2652953439360701,0.3492154256149536,0.3,0.2,0.3743888685716284,0.40658631126878847
sagui4,9,86,raw,0.3664,free,NA,0.0020000000000000005,-0.9999999999999999,0.1,0,20.354001271429944,1.6419399229513318,8.340979659392463,0.2506423309365454,0.39176400472666656,0.5156895391432481,0.3,0.2,0.6480107025347028,0.7037396229526873
sagui4,10,53,raw,0.3664,free,NA,0.0020000000000000005,-0.9999999999999999,0.1,0,20.645867411774862,1.6532168260610267,8.229337415252898,0.2506423309365453,0.30295790323387317,0.3987916695090043,0.3,0.2,0.6542133947087497,0.7104757466537023
sagui4,11,34,raw,0.3664,free,NA,0.0020000000000000005,-0.9999999999999999,0.1,0,21.487274901316603,1.8352058927108839,8.127231909835187,0.2506423309365453,0.23948415307209572,0.3152394580406274,0.3,0.2,0.6163422496336347,0.6693476831021273
sagui4,12,40,raw,0.3664,free,NA,0.0020000000000000005,-0.9999999999999999,0.1,0,19.47376129575332,1.471959829355326,8.241915361018297,0.25064233093654537,0.3118604003969589,0.4105102669397682,0.3,0.2,0.7441489410815807,0.8081457500145967
sagui4,13,57,raw,0.3664,free,NA,0.0020000000000000005,-0.9999999999999999,0.1,0,20.322327024962398,1.6056455337870021,8.500387432671776,0.25064233093654537,0.5654996022523355,0.7443823979557836,0.3,0.2,0.6941326214225773,0.7538280268649189
sagui4,14,17,raw,0.3664,free,NA,0.0020000000000000005,-0.9999999999999999,0.1,0,19.520234244893622,1.4466574076411451,8.087142718113993,0.2506423309365454,0.21836729242588448,0.2874427641039431,0.3,0.2,0.8349420063097659,0.9067470188524058
sagui4,15,36,raw,0.3664,free,NA,0.0020000000000000005,-0.9999999999999999,0.1,0,21.157848656618597,1.7638373251706472,8.437975167584803,0.25064233093654537,0.48980141869446847,0.6447388346831104,0.3,0.2,0.6332453976685597,0.6877045018680559
sagui4,16,7,raw,0.3664,free,NA,0.0020000000000000005,-0.9999999999999999,0.1,0,21.687378558217024,1.7923064032891092,8.365644739898402,5.149895415162457,0.018889600311699176,0.02792641151181913,8.5,5,0,0
sagui4,17,22,raw,0.3664,free,NA,0.0020000000000000005,-0.9999999999999999,0.1,0,21.003600331734773,1.7235295087529034,8.340177149320434,0.2506423309365454,0.3910407529356812,0.514737503279111,0.3,0.2,0.6447019144352435,0.7001462790766745
sagui4,18,11,raw,0.3664,free,NA,0.003999999999910495,-0.6989700043457366,0.1,1,24.120383161163762,2.184455224485897,7.979522939097647,0.25064233093654537,0.1704385419252393,0.22435285548757078,0.3,0.2,0.05569486604573697,0.060484624525670355
sagui4,19,54,raw,0.3664,free,NA,0.0020000000000000005,-0.9999999999999999,0.1,0,21.09548454752477,1.8467293807180858,8.095635583959155,0.2506423309365454,0.22267961157458876,0.2931191862550427,0.3,0.2,0.31507542403948696,0.3421719105068829
sagui4,20,33,raw,0.3664,free,NA,0.0020000000000000005,-0.9999999999999999,0.1,0,22.196887183584053,1.947736369496002,8.04811602600881,0.2506423309365455,0.19960016553897586,0.2627390881699963,0.3,0.2,0.24399213221352117,0.264975455583884
